ID,Title,Author,Date,Votes,Tags
24538,Sync with Android contacts / calendar,ROTFL,2018-02-02T11:28:27.990Z,11,
29294,Vivaldi mobile as a multi media remote for the desktop client,HalleAndert,2018-08-10T21:58:08.453Z,2,MOBILE:MEDIA
31061,Import bookmarks from other mobile browsers,ROTFL,2018-10-09T20:56:02.618Z,9,BOOKMARKS:MOBILE:IMPORT
31067,Notify user when new device is added to Sync,ROTFL,2018-10-09T21:21:57.071Z,8,SYNC:SECURITY:MOBILE
31070,Use mobile instance for two-factor authentication,ROTFL,2018-10-09T21:36:07.243Z,2,SECURITY:MOBILE:2FA
31065,Make it easier to integrate mobile version with third-party software,ROTFL,2018-10-09T21:12:12.635Z,2,MOBILE:ANDROID:INTEGRATION:THIRD-PARTY:TASKER
31080,Easy way to switch pages to "offline" mode,Guilimote,2018-10-10T08:55:52.315Z,10,MOBILE:OFFLINE
31068,Include QR code scanner in mobile version,ROTFL,2018-10-09T21:23:55.797Z,8,MOBILE:QR CODES
31319,Enhanced share feature,antoine.luboz,2018-10-16T20:14:57.946Z,3,MOBILE:SHARING
32021,Finger Gestures & Tab Groups,Steffie,2018-11-07T14:39:17.775Z,17,MOBILE
32042,User Javascript/Greasemonkey support,Viqsi,2018-11-08T03:24:19.713Z,9,JAVASCRIPT:MOBILE
32048,Sync Bookmarks and Passwords,buss,2018-11-08T08:57:05.660Z,16,SYNC:MOBILE:IN PROGRESS
31551,Support for Amazon Kindle Fire,greybeard,2018-10-23T15:35:42.753Z,3,MOBILE
32140,Voice Support for Quick Commands,MasterLeo29,2018-11-11T20:11:43.286Z,6,MOBILE:VOICE
32059,Thumb reachability and gestures for one-hand use (see Yandex),Pandorino,2018-11-08T12:17:13.768Z,15,MOBILE:USER INTERFACE
32412,Optimization for lower (than Chrome) power consumption,ROTFL,2018-11-21T09:15:44.250Z,7,MOBILE:POWERMANAGEMENT
32062,Orientation locking option,GoldNoway,2018-11-08T13:39:59.437Z,4,MOBILE
31062,Include notes browser / editor in mobile version,ROTFL,2018-10-09T20:59:40.887Z,7,NOTES:MOBILE:IN PROGRESS
33409,Support of Background's Floating Video Window,nazar1,2018-12-25T19:22:55.574Z,3,MOBILE
32020,"Seamless browsing experience" aka. realtime tabs syncing with PC,jacekn,2018-11-07T14:14:14.917Z,21,TABS:SYNC:MOBILE:SESSIONS
33873,Captive Portal Detection,MikeZ,2019-01-17T09:59:16.258Z,1,MOBILE
25202,Support Progressive Web App Installation,LonM,2018-02-18T16:08:50.586Z,20,MOBILE
35336,Developer Tools (Inspect),truetiem,2019-03-09T05:32:11.875Z,1,MOBILE:DEVELOPER TOOLS
36043,Bookmark Bar integration.,k9ketan,2019-03-31T08:12:15.238Z,0,BOOKMARKS:MOBILE:BOOKMARKS BAR
36184,Play video in background,honorine.brice,2019-04-03T16:29:15.857Z,3,
36044,Theme engine.,k9ketan,2019-03-31T08:14:54.302Z,11,THEMES:MOBILE
36484,Quick scrolling capabilities,ROTFL,2019-04-11T16:31:08.805Z,5,MOBILE:SCROLLING
36631,Respect system wide font size settings,zakius,2019-04-17T12:21:05.534Z,0,
27229,Vivaldi Mail app for mobile phones,CheVe11e_191,2018-05-06T18:23:02.293Z,17,MOBILE:EMAIL:ANDROID:APP
31075,A light version in addition to the standard one,Ornorm,2018-10-09T23:03:26.159Z,9,MOBILE
36868,Sticky Address Bar Option,Hadden89,2019-04-27T16:45:46.848Z,8,ADDRESS BAR:MOBILE
